,Ticker
475,WMT
476,WBD
477,WM
478,WAT
479,WEC
480,WFC
481,WELL
482,WST
483,WDC
484,WRK
485,WY
486,WHR
487,WMB
488,WTW
489,GWW
490,WYNN
491,XEL
492,XYL
493,YUM
494,ZBRA
495,ZBH
496,ZION
497,ZTS
